FIPS_Code,State,Area_Name,Rural_Urban_Continuum_Code_2013,Urban_Influence_Code_2013,Metro_2013,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Civilian_labor_force_2021,Employed_2021,Unemployed_2021,Unemployment_rate_2021,Civilian_labor_force_2022,Employed_2022,Unemployed_2022,Unemployment_rate_2022,Median_Household_Income_2021,Med_HH_Income_Percent_of_State_Total_2021
00000,US,United States,,,,142601576.00,136904853.00,5696723.00,4.00,143786537.00,136977996.00,6808541.00,4.70,144839298.00,136455783.00,8383515.00,5.80,145660094.00,136944522.00,8715572.00,6.00,146724795.00,138613904.00,8110891.00,5.50,148597241.00,141000912.00,7596329.00,5.10,150707773.00,143729350.00,6978423.00,4.60,152191050.00,145156133.00,7034917.00,4.60,153761037.00,144860349.00,8900688.00,5.80,153825454.00,139594699.00,14230755.00,9.30,154254521.00,139393814.00,14860707.00,9.60,154520678.00,140688861.00,13831817.00,9.00,155038121.00,142527201.00,12510920.00,8.10,155362278.00,143905037.00,11457241.00,7.40,155936159.00,146318952.00,9617207.00,6.20,156840649.00,148554918.00,8285731.00,5.30,158674951.00,150949349.00,7725602.00,4.90,160744592.00,153744181.00,7000411.00,4.40,162039448.00,155727509.00,6311939.00,3.90,163815888.00,157805898.00,6009990.00,3.70,161483724.00,148453335.00,13030389.00,8.10,162229903.00,153544980.00,8684923.00,5.40,164781642.00,158766998.00,6014644.00,3.70,69717.00,
01000,AL,Alabama,,,,2147173.00,2047731.00,99442.00,4.60,2128027.00,2017467.00,110560.00,5.20,2112621.00,1987633.00,124988.00,5.90,2128668.00,2001568.00,127100.00,6.00,2138306.00,2018783.00,119523.00,5.60,2140356.00,2045234.00,95122.00,4.40,2170007.00,2083207.00,86800.00,4.00,2180448.00,2092030.00,88418.00,4.10,2176854.00,2049579.00,127275.00,5.80,2156593.00,1938784.00,217809.00,10.10,2197028.00,1968824.00,228204.00,10.40,2202337.00,1991379.00,210958.00,9.60,2178508.00,2000848.00,177660.00,8.20,2172102.00,2012828.00,159274.00,7.30,2164715.00,2018705.00,146010.00,6.70,2152295.00,2020443.00,131852.00,6.10,2155729.00,2029157.00,126572.00,5.90,2203458.00,2103873.00,99585.00,4.50,2240109.00,2152270.00,87839.00,3.90,2272935.00,2200437.00,72498.00,3.20,2269672.00,2124409.00,145263.00,6.40,2259349.00,2183330.00,76019.00,3.40,2286028.00,2226670.00,59358.00,2.60,53990.00,100.00
01001,AL,"Autauga County, AL",2,2,1,21861.00,20971.00,890.00,4.10,22081.00,21166.00,915.00,4.10,22161.00,21096.00,1065.00,4.80,22695.00,21557.00,1138.00,5.00,23241.00,22146.00,1095.00,4.70,23887.00,22986.00,901.00,3.80,24425.00,23619.00,806.00,3.30,24434.00,23610.00,824.00,3.40,24687.00,23376.00,1311.00,5.30,24660.00,22464.00,2196.00,8.90,25749.00,23481.00,2268.00,8.80,25845.00,23688.00,2157.00,8.30,25762.00,23932.00,1830.00,7.10,25783.00,24155.00,1628.00,6.30,25639.00,24150.00,1489.00,5.80,25541.00,24206.00,1335.00,5.20,25710.00,24395.00,1315.00,5.10,26269.00,25224.00,1045.00,4.00,26471.00,25515.00,956.00,3.60,26696.00,25927.00,769.00,2.90,26425.00,25023.00,1402.00,5.30,26545.00,25809.00,736.00,2.80,26789.00,26181.00,608.00,2.30,66444.00,123.10
01003,AL,"Baldwin County, AL",3,2,1,69979.00,67370.00,2609.00,3.70,69569.00,66545.00,3024.00,4.30,69379.00,65881.00,3498.00,5.00,72598.00,69010.00,3588.00,4.90,74843.00,71061.00,3782.00,5.10,76608.00,73581.00,3027.00,4.00,79806.00,77263.00,2543.00,3.20,82829.00,80213.00,2616.00,3.20,83205.00,79222.00,3983.00,4.80,82314.00,74950.00,7364.00,8.90,83551.00,75283.00,8268.00,9.90,85077.00,77459.00,7618.00,9.00,84507.00,77973.00,6534.00,7.70,85206.00,79466.00,5740.00,6.70,86546.00,81265.00,5281.00,6.10,87493.00,82619.00,4874.00,5.60,89778.00,84972.00,4806.00,5.40,93152.00,89286.00,3866.00,4.20,96235.00,92734.00,3501.00,3.60,98965.00,96069.00,2896.00,2.90,98979.00,92893.00,6086.00,6.10,99953.00,97034.00,2919.00,2.90,102849.00,100432.00,2417.00,2.40,65658.00,121.60
01005,AL,"Barbour County, AL",6,6,0,11449.00,10812.00,637.00,5.60,11324.00,10468.00,856.00,7.60,11006.00,10154.00,852.00,7.70,11019.00,10241.00,778.00,7.10,10639.00,9884.00,755.00,7.10,10730.00,10114.00,616.00,5.70,10713.00,10110.00,603.00,5.60,10363.00,9698.00,665.00,6.40,10175.00,9249.00,926.00,9.10,9944.00,8635.00,1309.00,13.20,10219.00,8978.00,1241.00,12.10,9843.00,8716.00,1127.00,11.40,9377.00,8273.00,1104.00,11.80,9096.00,8152.00,944.00,10.40,8859.00,7930.00,929.00,10.50,8590.00,7823.00,767.00,8.90,8334.00,7638.00,696.00,8.40,8415.00,7914.00,501.00,6.00,8505.00,8068.00,437.00,5.10,8641.00,8294.00,347.00,4.00,8684.00,8017.00,667.00,7.70,8280.00,7821.00,459.00,5.50,8241.00,7906.00,335.00,4.10,38649.00,71.60
01007,AL,"Bibb County, AL",1,1,1,8623.00,8160.00,463.00,5.40,9134.00,8513.00,621.00,6.80,8961.00,8333.00,628.00,7.00,8871.00,8346.00,525.00,5.90,8851.00,8375.00,476.00,5.40,8837.00,8444.00,393.00,4.40,8858.00,8489.00,369.00,4.20,8810.00,8443.00,367.00,4.20,8751.00,8225.00,526.00,6.00,8696.00,7637.00,1059.00,12.20,8936.00,7931.00,1005.00,11.20,8932.00,8000.00,932.00,10.40,8808.00,8037.00,771.00,8.80,8699.00,8000.00,699.00,8.00,8573.00,7959.00,614.00,7.20,8552.00,7983.00,569.00,6.70,8539.00,7986.00,553.00,6.50,8648.00,8261.00,387.00,4.50,8697.00,8351.00,346.00,4.00,8777.00,8491.00,286.00,3.30,8717.00,8085.00,632.00,7.30,8641.00,8347.00,294.00,3.40,8726.00,8507.00,219.00,2.50,48454.00,89.70
01009,AL,"Blount County, AL",1,1,1,25266.00,24375.00,891.00,3.50,25450.00,24521.00,929.00,3.70,25836.00,24436.00,1400.00,5.40,26008.00,24812.00,1196.00,4.60,26237.00,25149.00,1088.00,4.10,26378.00,25434.00,944.00,3.60,26799.00,25939.00,860.00,3.20,26683.00,25816.00,867.00,3.20,26693.00,25405.00,1288.00,4.80,26426.00,24005.00,2421.00,9.20,24928.00,22509.00,2419.00,9.70,25124.00,22951.00,2173.00,8.60,24978.00,23216.00,1762.00,7.10,24860.00,23277.00,1583.00,6.40,24571.00,23074.00,1497.00,6.10,24416.00,23089.00,1327.00,5.40,24380.00,23061.00,1319.00,5.40,25009.00,23979.00,1030.00,4.10,25333.00,24445.00,888.00,3.50,25592.00,24867.00,725.00,2.80,25136.00,24010.00,1126.00,4.50,25377.00,24779.00,598.00,2.40,25796.00,25222.00,574.00,2.20,56894.00,105.40
01011,AL,"Bullock County, AL",6,6,0,3997.00,3656.00,341.00,8.50,3937.00,3543.00,394.00,10.00,3890.00,3493.00,397.00,10.20,3992.00,3556.00,436.00,10.90,3879.00,3437.00,442.00,11.40,3734.00,3383.00,351.00,9.40,3703.00,3377.00,326.00,8.80,3666.00,3313.00,353.00,9.60,3641.00,3244.00,397.00,10.90,3713.00,3179.00,534.00,14.40,4941.00,4365.00,576.00,11.70,4829.00,4274.00,555.00,11.50,4742.00,4240.00,502.00,10.60,4774.00,4322.00,452.00,9.50,4738.00,4323.00,415.00,8.80,4765.00,4385.00,380.00,8.00,4785.00,4457.00,328.00,6.90,4890.00,4644.00,246.00,5.00,4843.00,4617.00,226.00,4.70,4864.00,4674.00,190.00,3.90,4880.00,4589.00,291.00,6.00,4637.00,4455.00,182.00,3.90,4554.00,4426.00,128.00,2.80,32027.00,59.30
01013,AL,"Butler County, AL",6,6,0,9221.00,8496.00,725.00,7.90,9060.00,8372.00,688.00,7.60,9172.00,8448.00,724.00,7.90,9218.00,8423.00,795.00,8.60,9090.00,8240.00,850.00,9.40,9113.00,8528.00,585.00,6.40,9247.00,8722.00,525.00,5.70,9124.00,8551.00,573.00,6.30,9063.00,8263.00,800.00,8.80,9033.00,7671.00,1362.00,15.10,9252.00,8015.00,1237.00,13.40,9180.00,8046.00,1134.00,12.40,9103.00,8029.00,1074.00,11.80,9144.00,8189.00,955.00,10.40,9285.00,8496.00,789.00,8.50,9113.00,8417.00,696.00,7.60,9116.00,8484.00,632.00,6.90,9046.00,8536.00,510.00,5.60,9069.00,8639.00,430.00,4.70,9321.00,8958.00,363.00,3.90,9238.00,8357.00,881.00,9.50,8819.00,8367.00,452.00,5.10,8804.00,8503.00,301.00,3.40,39442.00,73.10
01015,AL,"Calhoun County, AL",3,2,1,53244.00,50522.00,2722.00,5.10,51889.00,49001.00,2888.00,5.60,52111.00,48991.00,3120.00,6.00,53026.00,49892.00,3134.00,5.90,54074.00,51164.00,2910.00,5.40,53812.00,51409.00,2403.00,4.50,54118.00,51946.00,2172.00,4.00,54983.00,52782.00,2201.00,4.00,54574.00,51371.00,3203.00,5.90,53760.00,48278.00,5482.00,10.20,51577.00,45798.00,5779.00,11.20,51271.00,45986.00,5285.00,10.30,49717.00,45196.00,4521.00,9.10,48381.00,44068.00,4313.00,8.90,47321.00,43562.00,3759.00,7.90,45808.00,42566.00,3242.00,7.10,45450.00,42470.00,2980.00,6.60,46304.00,43960.00,2344.00,5.10,46800.00,44636.00,2164.00,4.60,46828.00,45076.00,1752.00,3.70,47047.00,43434.00,3613.00,7.70,46368.00,44497.00,1871.00,4.00,46140.00,44741.00,1399.00,3.00,48166.00,89.20
